"Call..Failure","Complains","Subscription..Length","Charge..Amount","Seconds.of.Use","Frequency.of.use","Frequency.of.SMS","Distinct.Called.Numbers","Age.Group","Tariff.Plan","Status","Age","Customer.Value","Churn","predicted_prob","predicted_class"
8,0,38,0,4370,71,5,17,3,1,1,30,197.64,0,0.043852602713883,0
0,0,39,0,318,5,7,4,2,1,2,25,46.035,0,0.318258090395859,0
10,0,37,0,2453,60,359,24,3,1,1,30,1536.52,0,0.000317688333924841,0
10,0,38,0,4198,66,1,35,1,1,1,15,240.02,0,0.0972761367826285,0
3,0,38,0,2393,58,2,33,1,1,1,15,145.805,0,0.0247628777494418,0
11,0,38,1,3775,82,32,28,3,1,1,30,282.28,0,0.0132824322257425,0
4,0,38,0,2360,39,285,18,3,1,1,30,1235.96,0,0.00129240086503497,0
13,0,37,2,9115,121,144,43,3,1,1,30,945.44,0,0.00239488141925951,0
7,0,38,0,13773,169,0,44,3,1,1,30,557.68,0,0.00794753372589388,0
7,0,38,1,4515,83,2,25,3,1,1,30,191.92,0,0.0156035210427823,0
6,0,38,0,5918,95,7,12,3,1,1,30,268.52,0,0.0165714752200337,0
9,0,38,0,2238,54,8,17,3,1,2,30,123.68,0,0.190419323304189,0
25,0,38,3,15140,225,54,32,3,1,1,30,830.6,0,0.00092672271228117,0
4,0,38,1,3095,27,483,8,3,1,1,30,2056.88,0,0.000135731170379363,0
9,0,37,0,15485,182,150,30,2,1,1,25,1380.015,0,0.00467124182560643,0
3,0,37,1,6500,86,186,26,3,1,1,30,1007.44,0,0.00129856007634865,0
0,0,37,0,875,14,0,11,2,1,2,25,40.005,1,0.292350145858447,0
2,0,38,0,710,14,13,8,3,1,2,30,80.96,0,0.311149501036987,0
0,0,37,0,0,0,0,0,2,1,2,25,0,1,0.377756370788805,0
3,0,37,0,7508,127,384,43,2,1,1,25,2071.575,0,0.000141239815869195,0
7,0,37,1,11465,154,11,47,4,1,1,45,317.975,0,0.000771782191393888,0
8,0,37,1,6718,75,108,37,2,1,1,25,791.685,0,0.0304604466320386,0
23,1,33,0,955,47,16,17,2,1,2,25,117.09,1,0.986322739156735,1
21,1,36,8,10435,93,1,42,5,2,1,55,159.42,0,0.212045263172927,0
13,1,36,1,5818,98,26,24,2,1,1,25,383.22,1,0.585439803644985,1
1,0,34,0,2840,22,0,14,3,1,1,30,114.48,0,0.159780168193867,0
9,0,35,0,2990,41,9,16,3,1,2,30,157.24,1,0.41562704113895,0
9,1,36,0,2268,44,34,31,3,1,2,30,228.48,1,0.946163724662053,1
0,0,36,0,133,2,0,2,3,1,2,30,5.4,1,0.410253216302133,0
1,0,36,0,1668,25,0,6,3,1,1,30,67.72,0,0.0862325208044581,0
3,0,33,1,6785,97,14,22,5,1,1,55,124.23,0,0.00183978991712551,0
0,1,36,0,628,7,9,4,4,1,2,45,38.375,1,0.968183465663165,1
0,0,36,1,338,4,4,2,5,1,1,55,11.13,0,0.105751948068713,0
25,0,31,3,16075,238,0,80,2,2,1,25,734.085,0,0.00339933544529836,0
6,0,34,3,6965,116,271,33,2,2,1,25,1538.145,0,0.000315752917818685,0
2,0,36,0,3718,82,2,28,2,1,1,25,180,0,0.0101394781950684,0
3,0,35,0,1665,44,38,20,3,1,2,30,220.36,0,0.0975474296850427,0
6,0,36,0,2780,53,175,23,2,1,1,25,914.985,0,0.0109722292334333,0
4,0,27,1,1315,36,193,11,2,2,1,25,929.295,0,0.00876898364275621,0
4,0,26,0,1568,39,30,68,4,1,1,45,115.175,0,0.030690146884415,0
11,0,27,0,700,25,10,7,2,1,2,25,77.625,0,0.510987965297536,1
0,0,26,0,825,10,21,3,4,1,2,45,73.375,1,0.309401351210384,0
10,0,25,0,1225,32,19,13,2,1,1,25,142.065,0,0.152163196706795,0
2,0,25,0,3225,61,8,23,3,1,1,30,163.44,0,0.032599622986544,0
2,0,18,0,1695,26,28,14,2,1,1,25,203.445,0,0.113123919118331,0
16,0,17,1,6393,141,85,42,2,2,1,25,676.53,0,0.00436238230894558,0
12,0,15,0,8933,171,73,40,4,1,1,45,410.1,0,0.000137081780448176,0
8,0,16,3,2853,45,31,19,3,2,1,30,239.92,0,0.0459583248894682,0
2,0,9,1,4390,40,215,10,3,1,1,30,1037.2,0,0.00991879297810503,0
3,0,9,1,1488,19,0,7,3,1,1,30,60.28,1,0.202306542464152,0
11,0,40,1,4430,74,10,19,3,1,1,30,220.16,0,0.0341227831949286,0
3,0,41,1,378,8,12,6,3,1,1,30,63.44,0,0.0855206615057129,0
13,0,39,1,2513,63,364,26,3,1,1,30,1559.04,0,0.000244728731668594,0
13,0,40,1,4258,69,6,37,1,1,1,15,270.985,0,0.0828701548256252,0
6,0,40,1,2453,61,7,35,2,1,1,25,144.63,0,0.0178246725359636,0
14,0,40,2,3835,85,37,30,3,2,1,30,304.8,0,0.0102625842169579,0
